Date/Time;Volume Temperature, °C;Volume Temperature Setpoint, °C;Temperature Control (P), %;Temperature Control (I), %;Temperature Control (D), %
15.01.26 12:38:15;59,99;60,00;0,10;5,20;0,02
15.01.26 12:38:17;59,99;60,00;0,10;5,20;0,02
15.01.26 12:38:19;59,99;60,00;0,10;5,20;0,01
15.01.26 12:38:21;59,99;60,00;0,10;5,20;0,01
15.01.26 12:38:23;59,99;60,00;0,10;5,20;0,01
15.01.26 12:38:26;59,99;60,00;-0,41;5,20;-0,14
15.01.26 12:38:28;59,99;60,00;0,10;5,20;0,02
15.01.26 12:38:30;59,99;60,00;0,10;5,20;0,02
15.01.26 12:38:32;59,99;60,00;0,10;5,20;0,01
15.01.26 12:38:34;59,99;60,00;0,10;5,20;0,01
15.01.26 12:38:36;59,99;60,00;0,10;5,20;0,01
15.01.26 12:38:38;59,99;60,00;0,10;5,20;0,01
15.01.26 12:38:40;59,99;60,00;0,10;5,20;0,01
15.01.26 12:38:42;60,04;60,00;-0,41;5,19;-0,13
15.01.26 12:38:44;60,04;60,00;-0,41;5,19;-0,12
15.01.26 12:38:46;60,04;60,00;0,10;5,19;0,04
15.01.26 12:38:49;59,99;60,00;0,10;5,19;0,04
15.01.26 12:38:51;59,99;60,00;0,10;5,19;0,03
15.01.26 12:38:53;59,99;60,00;0,10;5,19;0,03
15.01.26 12:38:55;59,99;60,00;0,10;5,19;0,03
15.01.26 12:38:57;59,99;60,00;0,10;5,19;0,02
15.01.26 12:38:59;60,04;60,00;-0,41;5,18;-0,12
15.01.26 12:39:01;59,99;60,00;0,10;5,18;0,04
15.01.26 12:39:03;59,99;60,00;0,10;5,18;0,03
15.01.26 12:39:05;60,04;60,00;-0,41;5,18;0,04
15.01.26 12:39:07;59,99;60,00;0,10;5,18;0,04
15.01.26 12:39:09;59,99;60,00;0,10;5,18;0,03
15.01.26 12:39:11;60,04;60,00;-0,41;5,18;-0,11
15.01.26 12:39:13;59,99;60,00;0,10;5,18;0,03
15.01.26 12:39:15;59,99;60,00;0,10;5,18;0,03
15.01.26 12:39:17;59,99;60,00;0,10;5,18;0,03
15.01.26 12:39:19;60,04;60,00;-0,41;5,18;-0,12
