Date/Time;Temperature;Setpoint Temperature °C;Temperature Control (P) %;Temperature Control (I) %;Temperature Control (D) %
18.01.26 17:43:00;-6,46;0,00;43,06;9,70;0,11
18.01.26 17:43:02;-6,51;0,00;43,39;9,79;0,10
18.01.26 17:43:04;-6,51;0,00;43,39;9,88;0,09
18.01.26 17:43:06;-6,51;0,00;43,39;9,96;0,08
18.01.26 17:43:08;-6,51;0,00;43,39;10,05;0,07
18.01.26 17:43:10;-6,51;0,00;43,39;10,14;0,06
18.01.26 17:43:12;-6,51;0,00;43,39;10,22;0,06
18.01.26 17:43:14;-6,51;0,00;43,39;10,31;0,05
18.01.26 17:43:16;-6,51;0,00;43,39;10,40;0,05
18.01.26 17:43:18;-6,51;0,00;43,39;10,48;-0,06
18.01.26 17:43:20;-6,46;0,00;43,06;10,57;-0,05
18.01.26 17:43:22;-6,51;0,00;43,39;10,66;0,05
18.01.26 17:43:24;-6,51;0,00;43,39;10,79;0,04
18.01.26 17:43:27;-6,51;0,00;43,39;10,87;0,04
18.01.26 17:43:29;-6,51;0,00;43,39;10,96;0,03
18.01.26 17:43:31;-6,51;0,00;43,39;11,05;0,03
18.01.26 17:43:33;-6,51;0,00;43,39;11,13;0,03
18.01.26 17:43:35;-6,51;0,00;43,39;11,22;0,02
18.01.26 17:43:37;-6,51;0,00;43,39;11,31;0,02
18.01.26 17:43:39;-6,51;0,00;43,39;11,39;0,02
18.01.26 17:43:41;-6,51;0,00;43,39;11,48;0,02
18.01.26 17:43:43;-6,51;0,00;43,39;11,57;0,02
18.01.26 17:43:45;-6,51;0,00;43,39;11,65;0,01
18.01.26 17:43:47;-6,51;0,00;43,39;11,74;0,01
18.01.26 17:43:49;-6,46;0,00;43,06;11,83;0,02
18.01.26 17:43:51;-6,51;0,00;43,39;11,96;0,02
18.01.26 17:43:54;-6,51;0,00;43,39;12,04;0,01
18.01.26 17:43:56;-6,51;0,00;43,39;12,13;0,01
18.01.26 17:43:58;-6,51;0,00;43,39;12,22;0,01
18.01.26 17:44:00;-6,51;0,00;43,39;12,30;0,01
18.01.26 17:44:02;-6,51;0,00;43,06;12,39;-0,09
18.01.26 17:44:04;-6,46;0,00;43,06;12,48;-0,08
18.01.26 17:44:06;-6,51;0,00;43,06;12,56;-0,08
18.01.26 17:44:08;-6,46;0,00;43,39;12,65;0,02
18.01.26 17:44:10;-6,46;0,00;43,06;12,74;-0,08
18.01.26 17:44:12;-6,51;0,00;43,39;12,82;0,02
18.01.26 17:44:14;-6,46;0,00;43,06;12,91;-0,08
18.01.26 17:44:16;-6,51;0,00;43,39;13,00;-0,07
18.01.26 17:44:18;-6,46;0,00;43,06;13,08;-0,06
18.01.26 17:44:20;-6,46;0,00;43,06;13,17;-0,06
18.01.26 17:44:22;-6,46;0,00;43,06;13,30;-0,05
18.01.26 17:44:25;-6,46;0,00;43,06;13,38;-0,05
18.01.26 17:44:27;-6,46;0,00;43,06;13,47;-0,04
18.01.26 17:44:29;-6,46;0,00;43,06;13,56;-0,04
18.01.26 17:44:31;-6,46;0,00;43,06;13,64;-0,04
18.01.26 17:44:33;-6,46;0,00;43,06;13,73;-0,03
18.01.26 17:44:35;-6,46;0,00;43,06;13,82;-0,03
